GEO,GOOGLE_SPEND,FB_SPEND,AFF_SPEND,REVENUE
A,8.204551839316432,7.674692776863048,4.986189581126316,103391.2389380531
B,10.09282018865659,9.737078042487859,7.265350321189937,876130.5840707965
C,1.9686923312797515,5.782865402313322,3.8356152422141188,81640.00884955752
D,8.788585008702853,8.390970870753629,6.303180841931074,201645.44247787612
E,9.52465793187306,8.94399151200546,7.4086655372296395,457977.73451327434
F,8.413033431133181,7.675186297012057,5.860868538749461,114471.86725663717
G,8.79372788459818,8.214322767515316,6.338657120136379,196175.76991150444
H,7.846787655485608,7.593682625687297,5.348617783753654,92296.49557522124
I,7.311850220471584,7.648819255741948,5.902270824414513,119505.46017699115
J,7.479182729415221,7.285131234598317,5.489808354215516,88443.48672566372
K,8.389066619232143,7.749923159866196,5.626537934871687,120983.80530973451
L,8.87881840569793,8.347284107182968,6.050135823978192,253410.54867256636
M,8.25131280314513,7.661224251281146,5.823167661004578,104951.1592920354
N,1.9701087302354505,8.13640420631414,6.155802505443293,239736.42477876105
O,9.585175211365236,8.696253577777561,6.611904052985084,360136.99115044245
P,8.568760663212654,7.659549876189816,5.792322496393928,129760.41592920353
Q,8.647073413398497,8.055973848812954,5.990341481966768,153390.46017699115
R,7.668170742589486,6.757951637171964,4.568131463977214,78423.32743362832
S,8.982530285302499,8.359975695169755,6.478479280480095,227507.61061946902
T,6.9904432873523135,6.680092060606666,4.2271932613051195,38331.81415929204
U,8.73024346307132,7.540765979338921,5.364901507419033,94428.75221238939
V,9.318128003623334,8.759386323098823,6.526817178488334,311044.83185840707
W,7.799784801653753,7.533909392917127,6.0776640153616555,111215.1592920354
X,8.082326625102011,7.415746135818221,5.223476875534309,95836.7610619469
Y,7.856468358060953,7.145708538978816,5.073347434308102,69235.03539823009
Z,8.542995583169748,7.985105641770412,5.945493323065243,149633.2610619469
